"subj","current_staircase","duration_test","duration_ref","contrast_test","contrast_ref","stimulus_type","reference_type","stimulus_filename","reference_filename","ref_test_order","RT","resp","updated_threshold","updated_slope","updated_lapse","updated_guess","task","trials","group_id","energy","E","T","D","Ldu","Len"
"01",4,2924,5000,62,"050",0,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_31_Caucasian_female_neutral_frontal_062.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_14_Caucasian_female_angry_frontal_050.tiff",1,0.3280886,0,61.8555557149601,0.0448328002144274,0.0489897122121517,0.0935076655556838,"faces",50,"F_01_split_by_duration_test.2924",181288,-0.469393699433027,1.02065635346229,-0.792581686348446,7.98070782086967,12.1078422059148
"01",5,5268,5000,42,"050",0,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_28_Caucasian_male_neutral_frontal_042.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_10_Caucasian_male_neutral_frontal_050.tiff",0,0.4330381,0,42.4674534170389,0.0242787499491772,0.0598500100640458,0.0795638260452743,"faces",50,"F_01_split_by_duration_test.5268",221256,-0.362014029749731,0.349831297569537,-0.719066603216284,8.56940606286317,12.3070756811465
"01",6,9491,5000,26,"050",0,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_04_Caucasian_female_neutral_frontal_026.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_03_Caucasian_male_angry_frontal_050.tiff",0,0.52205,1,26.8218894897376,0.0269394392752892,0.0462319123466363,0.068521602458437,"faces",50,"F_01_split_by_duration_test.9491",246766,-0.29347781643856,-0.191502564545004,-0.586620273836114,9.15809926013049,12.416195798152
"01",7,17100,5000,16,"050",1,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_26_Caucasian_female_angry_frontal_016.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_18_Caucasian_female_neutral_frontal_050.tiff",1,0.2750657,0,16.524498134002,0.027671664988558,0.0553319894507325,0.0583239205938016,"faces",50,"F_01_split_by_duration_test.17100",273600,-0.221384490370666,-0.547790561462655,-0.347978521467249,9.74683374249075,12.5194224647305
"01",8,30808,5000,9,"050",0,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_31_Caucasian_female_neutral_frontal_009.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_09_Caucasian_male_neutral_frontal_050.tiff",0,0.1460951,1,9.13060490406682,0.047910056063242,0.0872331425431072,0.0764997835293318,"faces",50,"F_01_split_by_duration_test.30808",277272,-0.211519144416976,-0.803618014970991,0.0819467172595741,10.3355296754947,12.532754252831
"01",9,55505,5000,10,"050",1,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_09_Caucasian_male_angry_frontal_010.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_10_Caucasian_male_angry_frontal_050.tiff",0,0.1780341,1,9.67948351134248,0.0266614072583883,0.0798751614424555,0.0648953803698414,"faces",50,"F_01_split_by_duration_test.55505",555050,0.534770634538354,-0.784626908118645,0.856520952803516,10.9242283857667,13.2268134787608
"01",10,100000,5000,7,"050",0,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_26_Caucasian_female_neutral_frontal_007.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_26_Caucasian_female_angry_frontal_050.tiff",0,0.3110518,0,7.90226599032308,0.0290289750539689,0.0436468945868014,0.0679397465036879,"faces",50,"F_01_split_by_duration_test.100000",700000,0.924199255449928,-0.846118333352112,2.25202164562158,11.5129254649702,13.4588356140255
"02",4,2924,5000,79,"050",0,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_16_Caucasian_female_neutral_frontal_079.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_04_Caucasian_female_neutral_frontal_050.tiff",1,0.2220527,1,79.1847958911188,0.0457522029492696,0.0483629217915745,0.0946745657374773,"faces",50,"F_02_split_by_duration_test.2924",230996,-0.335846145874748,1.62024512863586,-0.792581686348446,7.98070782086967,12.3501556733367
"02",5,5268,5000,56,"050",1,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_15_Caucasian_male_angry_frontal_056.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_02_Caucasian_female_angry_frontal_050.tiff",0,0.4070864,0,55.9993796564323,0.0418386712576839,0.0783449098955599,0.0463377444480163,"faces",50,"F_02_split_by_duration_test.5268",295008,-0.163868878666803,0.818033653653193,-0.719066603216284,8.56940606286317,12.5947577535983
"02",6,9491,5000,27,"050",1,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_16_Caucasian_female_angry_frontal_027.tiff","C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_15_Caucasian_male_neutral_frontal_050.tiff",0,0.3640403,1,26.2924808873022,0.0249237060483546,0.0635727553587978,0.0534947881726691,"faces",50,"F_02_split_by_duration_test.9491",256257,-0.267978906186254,-0.209820012527363,-0.586620273836114,9.15809926013049,12.4539361261348
