"subj","current_staircase","duration","contrast","stimulus_type","stimulus_filename","RT","resp","correct","updated_threshold","updated_slope","updated_lapse","updated_guess","task","trials","group_id","energy"
"01",5,5268,83,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_27_Caucasian_female_neutral_frontal_083.tiff",0.3373854,0,1,82.17526773987,0.0467885922600302,0.0511708644478117,0.5,"faces",50,"F_01_split_by_duration.5268",437244
"01",6,9491,82,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_07_Caucasian_male_angry_frontal_082.tiff",0.4220901,1,1,81.6327371745221,0.0511155735990145,0.0480773886209854,0.5,"faces",50,"F_01_split_by_duration.9491",778262
"01",7,17100,97,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_27_Caucasian_female_angry_frontal_097.tiff",0.5110941,0,0,96.5687914094811,0.0486923966429082,0.0537037966662172,0.5,"faces",50,"F_01_split_by_duration.17100",1658700
"01",8,30808,71,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_25_Caucasian_male_angry_frontal_071.tiff",0.270082,1,1,70.7824056356173,0.05103779495526,0.0469515730913189,0.5,"faces",50,"F_01_split_by_duration.30808",2187368
"01",9,55505,64,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_19_Caucasian_female_neutral_frontal_064.tiff",0.3770697,0,1,61.6124778079757,0.0532213958715787,0.0776110834088849,0.5,"faces",50,"F_01_split_by_duration.55505",3552320
"01",10,1e+05,80,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_16_Caucasian_female_angry_frontal_080.tiff",0.6340514,1,1,79.865526454334,0.0524897807197736,0.0623443695674969,0.5,"faces",50,"F_01_split_by_duration.1e+05",8e+06
"02",2,901,99,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_26_Caucasian_female_angry_frontal_099.tiff",0.7180594,1,1,98.8385272409848,0.0508357061062318,0.0531657107318039,0.5,"faces",50,"F_02_split_by_duration.901",89199
"02",3,1623,52,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_15_Caucasian_male_neutral_frontal_052.tiff",0.6960426,0,1,42.9869097894721,0.0551573979086684,0.0860113466036685,0.5,"faces",50,"F_02_split_by_duration.1623",84396
"02",4,2924,55,0,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\neutral_Rafd090_20_Caucasian_male_neutral_frontal_055.tiff",1.3000329,1,0,55.8963555498998,0.0485670726979952,0.0530812330097779,0.5,"faces",50,"F_02_split_by_duration.2924",160820
"02",5,5268,49,1,"C:\Users\ULB-CO3\Documents\Pietro\bloch_law_faces\final\angry_Rafd090_18_Caucasian_female_angry_frontal_049.tiff",0.7310725,1,1,48.0861601909963,0.0608284317082643,0.0382440228769757,0.5,"faces",50,"F_02_split_by_duration.5268",258132
